,user.loginStatus,user.id,user.personal.language,classified.id,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.visualisationOption,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.id,customer.name,customer.family,customer.groupInfo.id,customer.groupInfo.name,customer.networkInfo.id,customer.networkInfo.name,screen.name,screen.language
0,logged out,,,9759243,house,apartment block,3100000,for sale,1070,xl,not installed,1950,good,fueloil,,0,2665,,,,true,,,1,8,false,1942392,bathim &amp; co - l&#039;immobilier sur mesure,agency,,,,,classified details,en
0,logged out,,,9778087,house,apartment block,549000,for sale,1070,xl,installed,1962,good,gas,508,4,0,,,,true,,,1,,false,3826086,prestige consultor immobilier,agency,,,,,classified details,en
0,logged out,,,9738704,house,apartment block,239000,for sale,6150,xl,semi equipped,,to be done up,gas,331,2,161,true,,100,,,,,,false,3048063,les maisons ferrian,agency,,,,,classified details,en
0,logged out,,,9397001,house,apartment block,235000,for sale,4430,xl,semi equipped,,good,fueloil,388,5,0,,true,,,,,,,false,1768158,sciara immo,agency,,,,,classified details,en
0,logged out,,,9423432,house,apartment block,545000,for sale,4430,xl,,,,fueloil,219,5,0,,,,,,,,,false,3856000,immobilière bertholome,agency,,,,,classified details,en
0,logged out,,,9672159,house,apartment block,309500,for sale,4430,xl,semi equipped,,good,gas,388,5,675,true,true,320,true,true,,,6,false,3636466,group skyimmo,agency,,,,,classified details,en
0,logged out,,,9141394,house,apartment block,2100000,for sale,2000,xl,usa hyper equipped,,as new,gas,121,4,0,,true,,true,,,,,false,2184,makelaarskantoor de meester,agency,,,,,classified details,en
0,logged out,,,9746218,house,apartment block,795000,for sale,2000,xl,semi equipped,,good,gas,,3,0,,true,,,,,,,false,3423211,listed property,agency,,,,,classified details,en
0,logged out,,,9766173,house,apartment block,699000,for sale,2000,xl,installed,,as new,gas,214,6,0,,,,true,,,,,false,3154209,listings,agency,,,,,classified details,en
0,logged out,,,9637827,house,apartment block,395000,for sale,2018,xl,hyper equipped,,good,fueloil,140,3,0,,,,true,,,,,false,3154209,listings,agency,,,,,classified details,en
