classified.price,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,carbon,electric,fueloil,gas,pellet,wood
2800000.0,2830,2.0,1972.0,5.0,127.0,36,389.0,0,1,0.0,1,0,0,1,1,0,0,0,1,0,0
715000.0,1200,2.0,1920.0,1.0,728.0,7,175.0,0,0,100.0,1,0,0,0,0,0,1,0,0,0,0
1195000.0,1200,2.0,1932.0,5.0,305.0,5,268.0,1,1,0.0,0,1,0,2,0,0,0,0,1,0,0
1220000.0,1200,1.0,1962.0,1.0,665.0,6,140.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
755000.0,1200,1.0,1962.0,1.0,665.0,4,140.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
465000.0,1200,1.0,1962.0,1.0,588.0,2,140.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
1950000.0,1150,2.0,1981.0,7.0,290.0,5,600.0,0,1,0.0,0,1,0,3,0,0,0,1,0,0,0
2685000.0,1150,2.0,2015.0,7.0,150.0,10,400.0,0,0,0.0,1,1,0,5,0,0,0,0,1,0,0
695000.0,1150,1.0,1929.0,5.0,485.0,4,115.0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0
2800000.0,1150,2.0,1986.0,5.0,140.0,11,1900.0,0,1,0.0,0,0,0,4,0,0,0,0,1,0,0
2800000.0,1150,4.0,1986.0,5.0,150.0,10,1988.0,0,1,1500.0,1,0,0,3,4,0,0,0,1,0,0
450000.0,8210,3.0,1957.0,7.0,610.0,6,484.0,0,1,0.0,1,1,0,4,4,0,1,0,0,0,0
379000.0,9300,4.0,1991.0,7.0,288.0,2,496.0,1,0,50.0,1,0,0,1,3,0,0,1,0,0,0
385000.0,9308,4.0,1969.0,3.0,565.0,2,719.0,0,0,0.0,1,0,1,2,4,0,0,1,0,0,0
495000.0,1790,4.0,1989.0,5.0,249.0,5,1184.0,0,0,1000.0,1,0,0,1,5,0,0,1,0,0,0
495000.0,9800,2.0,1967.0,5.0,296.0,4,837.0,0,0,493.0,0,0,0,2,2,0,0,0,1,0,0
250000.0,3130,2.0,1965.0,1.0,536.0,2,918.0,0,1,0.0,0,1,0,0,0,0,0,1,0,0,0
329000.0,9552,2.0,1973.0,5.0,781.0,2,862.0,1,1,0.0,1,0,0,1,5,0,0,1,0,0,0
405000.0,3370,4.0,1986.0,5.0,234.0,3,0.0,1,0,0.0,1,0,0,1,2,0,0,0,1,0,0
799000.0,1700,4.0,1966.0,6.0,341.0,5,5000.0,1,0,3000.0,1,0,0,2,4,0,0,1,0,0,0
445000.0,1332,3.0,1964.0,3.0,344.0,3,1014.0,0,0,0.0,1,1,0,1,3,0,0,0,1,0,0
599000.0,9070,2.0,1971.0,1.0,457.0,3,1373.0,1,1,1000.0,1,1,0,2,2,0,0,1,0,0,0
289000.0,5100,3.0,1970.0,5.0,547.0,2,763.0,0,0,0.0,0,0,0,1,3,0,0,1,0,0,0
229000.0,4540,3.0,1963.0,7.0,850.0,2,930.0,0,1,800.0,1,0,0,1,3,0,0,1,0,0,0
