classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
495000.0,1900.0,1.0,396.0,6,3249.0,0.0
175000.0,1880.0,1.0,471.0,5,581.0,0.0
480000.0,1930.0,1.0,792.0,4,19522.0,0.0
795000.0,1850.0,5.0,317.0,11,3600.0,3600.0
1150000.0,1784.0,5.0,306.0,7,3680.0,2400.0
750000.0,1950.0,7.0,2304.0,6,6000.0,5600.0
435000.0,1870.0,5.0,264.0,4,3634.0,3400.0
325000.0,1870.0,5.0,264.0,4,1080.0,800.0
239000.0,1890.0,5.0,610.0,3,1350.0,0.0
229000.0,1890.0,5.0,610.0,2,1365.0,0.0
365000.0,1980.0,5.0,412.0,3,2108.0,1963.0
299000.0,1949.0,3.0,332.0,4,240.0,110.0
290000.0,1930.0,5.0,710.0,2,576.0,0.0
299000.0,1965.0,5.0,670.0,4,257.0,0.0
199000.0,1930.0,5.0,308.0,2,88.0,0.0
285000.0,1910.0,1.0,505.0,3,80.0,0.0
285000.0,1948.0,7.0,202.0,3,316.0,0.0
249000.0,1950.0,1.0,460.0,3,524.0,0.0
295000.0,1956.0,6.0,180.0,4,224.0,0.0
269000.0,1934.0,5.0,214.0,3,120.0,0.0
159000.0,1899.0,5.0,503.0,2,282.0,0.0
149000.0,1938.0,3.0,462.0,2,70.0,0.0
198000.0,1935.0,1.0,593.0,4,210.0,120.0
260000.0,1911.0,7.0,325.0,2,645.0,0.0
225000.0,1950.0,7.0,338.0,2,180.0,0.0
329000.0,1958.0,7.0,269.0,5,0.0,80.0
399000.0,1958.0,6.0,256.0,3,599.0,0.0
375000.0,1990.0,7.0,129.0,3,561.0,400.0
323000.0,1957.0,5.0,592.0,2,232.0,0.0
280000.0,1930.0,5.0,247.0,4,170.0,0.0
575000.0,1977.0,5.0,290.0,3,990.0,0.0
249000.0,1950.0,1.0,460.0,3,524.0,0.0
239000.0,1970.0,3.0,286.0,3,147.0,50.0
354000.0,1998.0,7.0,205.0,3,672.0,0.0
320000.0,1988.0,7.0,254.0,2,175.0,54.0
295000.0,1937.0,5.0,417.0,3,603.0,400.0
260000.0,1961.0,3.0,559.0,3,1238.0,0.0
349000.0,1930.0,6.0,110.0,3,0.0,0.0
435000.0,1939.0,7.0,261.0,4,417.0,0.0
295000.0,1979.0,1.0,380.0,4,737.0,617.0
295000.0,2016.0,7.0,108.0,4,1266.0,1000.0
339000.0,1950.0,1.0,576.0,3,1050.0,800.0
244000.0,1930.0,1.0,810.0,3,239.0,180.0
294000.0,1965.0,3.0,295.0,3,1303.0,1100.0
235000.0,1918.0,3.0,532.0,2,227.0,140.0
309000.0,1958.0,3.0,478.0,3,470.0,200.0
349000.0,1982.0,5.0,275.0,4,473.0,0.0
389000.0,2017.0,7.0,143.0,3,1036.0,900.0
435000.0,2016.0,7.0,111.0,3,404.0,200.0
379000.0,1963.0,7.0,288.0,4,343.0,240.0
299000.0,1948.0,7.0,539.0,3,290.0,150.0
330000.0,1949.0,5.0,667.0,3,1992.0,0.0
470000.0,2012.0,7.0,94.0,3,403.0,80.0
339000.0,1938.0,5.0,308.0,3,871.0,600.0
279000.0,1918.0,5.0,320.0,3,1040.0,0.0
350000.0,1966.0,6.0,422.0,4,0.0,0.0
399000.0,2015.0,5.0,120.0,3,864.0,590.0
334000.0,2007.0,7.0,340.0,3,208.0,153.0
899000.0,2006.0,5.0,220.0,4,1409.0,0.0
478000.0,1959.0,3.0,399.0,3,713.0,305.0
239000.0,1955.0,3.0,435.0,2,1514.0,406.0
257500.0,2008.0,7.0,137.0,4,540.0,300.0
145000.0,1970.0,5.0,592.0,3,78.0,0.0
315000.0,1874.0,5.0,364.0,4,1215.0,1000.0
199000.0,2008.0,5.0,227.0,3,1133.0,0.0
245000.0,1970.0,7.0,574.0,5,740.0,650.0
289500.0,1963.0,5.0,145.0,3,122.0,0.0
370000.0,1875.0,5.0,456.0,6,557.0,0.0
245000.0,1875.0,5.0,456.0,4,514.0,0.0
129000.0,1918.0,3.0,667.0,2,47.0,0.0
119500.0,1899.0,3.0,458.0,3,104.0,0.0
699000.0,1900.0,1.0,296.0,6,185.0,80.0
375000.0,1891.0,1.0,195.0,4,74.0,0.0
275000.0,1891.0,1.0,498.0,4,74.0,0.0
309000.0,1958.0,5.0,402.0,3,0.0,0.0
259000.0,1986.0,5.0,595.0,5,0.0,0.0
365000.0,1900.0,5.0,298.0,3,50.0,0.0
399000.0,1967.0,3.0,414.0,3,342.0,238.0
430000.0,1968.0,3.0,267.0,3,243.0,135.0
249000.0,1947.0,5.0,496.0,2,0.0,0.0
425000.0,1932.0,5.0,390.0,4,106.0,50.0
379000.0,1930.0,3.0,382.0,3,212.0,0.0
399000.0,1930.0,7.0,1424.0,4,75.0,0.0
190000.0,1899.0,3.0,295.0,4,190.0,0.0
349000.0,1997.0,5.0,452.0,4,596.0,440.0
249000.0,1938.0,6.0,412.0,4,170.0,65.0
329000.0,1979.0,3.0,264.0,3,1211.0,950.0
329000.0,1936.0,6.0,272.0,4,1028.0,620.0
520000.0,2001.0,5.0,432.0,5,2170.0,1957.0
219500.0,1943.0,3.0,483.0,3,1094.0,0.0
25000.0,1899.0,5.0,251.0,3,345.0,0.0
